CNTRYID,CNT,CNTSCHID,CYC,NatCen,Region,STRATUM,SUBNATIO,OECD,ADMINMODE,LANGTEST,SC001Q01TA,SC013Q01TA,SC016Q01TA,SC016Q02TA,SC016Q03TA,SC016Q04TA,SC017Q01NA,SC017Q02NA,SC017Q03NA,SC017Q04NA,SC017Q05NA,SC017Q06NA,SC017Q07NA,SC017Q08NA,SC161Q01SA,SC161Q02SA,SC161Q03SA,SC161Q04SA,SC161Q05SA,SC162Q01SA,SC155Q01HA,SC155Q02HA,SC155Q03HA,SC155Q04HA,SC155Q05HA,SC155Q06HA,SC155Q07HA,SC155Q08HA,SC155Q09HA,SC155Q10HA,SC155Q11HA,SC156Q01HA,SC156Q02HA,SC156Q03HA,SC156Q04HA,SC156Q05HA,SC156Q06HA,SC156Q07HA,SC156Q08HA,SC011Q01TA,SC012Q01TA,SC012Q02TA,SC012Q03TA,SC012Q04TA,SC012Q05TA,SC012Q06TA,SC012Q07TA,SC042Q01TA,SC042Q02TA,SC154Q01HA,SC154Q02WA,SC154Q03WA,SC154Q04WA,SC154Q05WA,SC154Q06WA,SC154Q07WA,SC154Q08WA,SC154Q09HA,SC154Q10WA,SC154Q11HA,SC036Q01TA,SC036Q02TA,SC036Q03NA,SC037Q01TA,SC037Q02TA,SC037Q03TA,SC037Q04TA,SC037Q05NA,SC037Q06NA,SC037Q07TA,SC037Q08TA,SC037Q09TA,SC037Q10NA,SC165Q01HA,SC165Q02HA,SC165Q03HA,SC165Q04HA,SC165Q05HA,SC165Q06HA,SC165Q07HA,SC165Q08HA,SC165Q09HA,SC165Q10HA,SC166Q02HA,SC166Q03HA,SC166Q05HA,SC166Q06HA,SC167Q01HA,SC167Q02HA,SC167Q03HA,SC167Q04HA,SC167Q05HA,SC167Q06HA,SC158Q01HA,SC158Q02HA,SC158Q04HA,SC158Q07HA,SC158Q08HA,SC158Q09HA,SC158Q12HA,SC061Q01TA,SC061Q02TA,SC061Q03TA,SC061Q04TA,SC061Q05TA,SC061Q11HA,SC061Q06TA,SC061Q07TA,SC061Q08TA,SC061Q09TA,SC061Q10TA,SC002Q01TA,SC002Q02TA,SC048Q01NA,SC048Q02NA,SC048Q03NA,SC004Q01TA,SC004Q02TA,SC004Q03TA,SC004Q04NA,SC004Q05NA,SC004Q06NA,SC004Q07NA,SC018Q01TA01,SC018Q01TA02,SC018Q02TA01,SC018Q02TA02,SC018Q05NA01,SC018Q05NA02,SC018Q06NA01,SC018Q06NA02,SC018Q07NA01,SC018Q07NA02,SC025Q01NA,SC159Q01HA,SC003Q01TA,SC053Q01TA,SC053Q02TA,SC053Q03TA,SC053Q04TA,SC053Q12IA,SC053Q13IA,SC053Q09TA,SC053Q10TA,SC053Q14IA,SC053Q15IA,SC053Q16IA,SC053D11TA,SC150Q01IA,SC150Q02IA,SC150Q03IA,SC150Q04IA,SC150Q05IA,SC164Q01HA,SC064Q01TA,SC064Q02TA,SC064Q03TA,SC064Q04NA,SC152Q01HA,SC160Q01WA,SC052Q01NA,SC052Q02NA,SC052Q03HA,PRIVATESCH,SCHLTYPE,STRATIO,SCHSIZE,RATCMP1,RATCMP2,TOTAT,PROATCE,PROAT5AB,PROAT5AM,PROAT6,CLSIZE,CREACTIV,EDUSHORT,STAFFSHORT,STUBEHA,TEACHBEHA,SCMCEG,W_SCHGRNRABWT,W_FSTUWT_SCH_SUM,SENWT,VER_DAT,M,BOOKID
124.0,b'CAN',12400001.0,b'07MS',b'012400',12406.0,b'CAN0654',b'1240000',1.0,2.0,313.0,4.0,1.0,100.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,,,10.0,15.0,5.0,285.0,200.0,200.0,50.0,45.0,10.0,60.0,,,,,,,,,,,100.0,2.0,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,b'0124001',1.0,1.0,2.0,2.0,2.0,5.0,80.0,85.0,2.0,5.0,2.0,,1.0,1.0,1.0,b'public',3.0,,,0.7018,1.0,,1.0,1.0,0.3472,0.0,,3.0,-1.4212,-1.4551,-0.0384,0.2785,-0.8583,5.85831,1701.46084,8.31951,b'  20MAY19:15:30:56',,
124.0,b'CAN',12400002.0,b'07MS',b'012400',12405.0,b'CAN0544',b'1240000',1.0,2.0,313.0,5.0,2.0,20.0,75.0,5.0,,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,,,18.0,5.0,,58.0,58.0,58.0,58.0,2.0,22.0,40.0,,,,,,,,,,,50.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,b'0124002',1.0,1.0,2.0,2.0,1.0,,60.0,99.0,3.0,20.0,1.0,3.0,1.0,1.0,2.0,b'private',1.0,,,1.0,1.0,,1.0,0.6442,0.3558,0.0,,3.0,-0.6884,-0.0097,-0.7912,-0.7733,0.9042,1.63345,92.80835,2.31969,b'  20MAY19:15:30:56',,
124.0,b'CAN',12400003.0,b'07MS',b'012400',12405.0,b'CAN0547',b'1240000',1.0,2.0,493.0,3.0,1.0,,,,,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,,,,40.0,24.0,,,,,,,,,,,,,,,,,,,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,b'0124002',1.0,1.0,1.0,2.0,2.0,,40.0,25.0,10.0,5.0,2.0,,1.0,1.0,1.0,b'public',3.0,,,,,,,,,,,3.0,0.1,0.8371,0.7395,0.6101,0.9042,1.45333,424.53805,2.06391,b'  20MAY19:15:30:56',,
124.0,b'CAN',12400004.0,b'07MS',b'012400',12404.0,b'CAN0434',b'1240000',1.0,2.0,313.0,2.0,1.0,95.0,5.0,,,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,,,25.0,40.0,39.0,62.0,62.0,62.0,62.0,23.0,10.0,20.0,,,,,,,,,,,100.0,1.0,,,,1.0,1.0,,,1.0,1.0,1.0,,,b'9999999',1.0,1.0,1.0,1.0,2.0,1.0,10.0,20.0,5.0,2.0,2.0,,1.0,1.0,1.0,b'public',3.0,,,1.0,1.0,,1.0,1.0,0.1333,0.0,,1.0,-0.949,0.0131,0.906,-0.0322,-0.6019,1.00931,51.43922,1.43334,b'  20MAY19:15:30:56',,
124.0,b'CAN',12400005.0,b'07MS',b'012400',12407.0,b'CAN0764',b'1240000',1.0,2.0,313.0,4.0,1.0,95.0,5.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,,,13.0,5.0,15.0,323.0,289.0,289.0,120.0,22.0,85.0,135.0,,,,,,,,,,,100.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,b'0124002',1.0,1.0,2.0,2.0,1.0,3.0,33.0,65.0,15.0,10.0,2.0,,1.0,1.0,1.0,b'public',3.0,,,0.8947,1.0,,1.0,1.0,0.6552,0.0207,,3.0,0.265,-0.2968,0.6482,-0.1241,0.9042,1.0,325.02878,1.42012,b'  20MAY19:15:30:56',,
124.0,b'CAN',12400006.0,b'07MS',b'012400',12409.0,b'CAN0984',b'1240000',1.0,2.0,313.0,2.0,1.0,100.0,,,,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,,,6.0,10.0,15.0,80.0,80.0,80.0,80.0,10.0,16.0,25.0,,,,,,,,,,,100.0,1.0,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,b'0124002',1.0,2.0,2.0,2.0,2.0,5.0,20.0,18.0,2.0,20.0,2.0,,1.0,1.0,1.0,b'public',3.0,,,1.0,1.0,,1.0,1.0,0.0714,0.0,,3.0,-1.4212,0.592,0.4781,0.6015,0.9042,15.98113,1325.32684,22.69516,b'  20MAY19:15:30:56',,
124.0,b'CAN',12400007.0,b'07MS',b'012400',12405.0,b'CAN0547',b'1240000',1.0,2.0,493.0,5.0,1.0,100.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,,78.0,47.0,94.0,140.0,105.0,105.0,75.0,40.0,0.0,85.0,,,,,,,,,,,75.0,2.0,,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,b'0124001',1.0,1.0,2.0,2.0,1.0,15.0,60.0,60.0,4.0,4.0,2.0,,1.0,1.0,1.0,b'public',3.0,,,0.75,1.0,,1.0,0.8824,0.1176,0.0,,2.0,-0.6844,0.4172,-0.5735,-2.0409,0.9042,3.52323,731.76501,5.00341,b'  20MAY19:15:30:56',,
124.0,b'CAN',12400008.0,b'07MS',b'012400',12406.0,b'CAN0654',b'1240000',1.0,2.0,313.0,3.0,1.0,100.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,,,13.0,24.0,27.0,300.0,100.0,100.0,70.0,10.0,50.0,80.0,,,,,,,,,,,80.0,2.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,b'0124002',1.0,1.0,1.0,2.0,1.0,1.0,92.0,75.0,1.0,,2.0,,1.0,1.0,1.0,b'public',3.0,,,0.3333,1.0,,1.0,1.0,0.1333,0.0,,3.0,-0.6884,0.2633,-0.3925,0.6101,0.9042,7.12133,1999.48597,10.11316,b'  20MAY19:15:30:56',,
124.0,b'CAN',12400009.0,b'07MS',b'012400',12405.0,b'CAN0544',b'1240000',1.0,2.0,313.0,4.0,1.0,70.0,30.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,4.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,,,40.0,30.0,25.0,180.0,90.0,90.0,30.0,40.0,40.0,45.0,,,,,,,,,,,100.0,2.0,,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,b'0124002',1.0,2.0,2.0,2.0,2.0,2.0,40.0,40.0,3.0,,2.0,,1.0,1.0,2.0,b'public',3.0,,,0.5,1.0,,,,0.1795,0.0,,1.0,0.8339,0.43,0.1795,0.2266,0.9042,1.44661,242.99046,2.05437,b'  20MAY19:15:30:56',,
124.0,b'CAN',12400010.0,b'07MS',b'012400',12405.0,b'CAN0542',b'1240000',1.0,2.0,313.0,5.0,1.0,99.0,1.0,,,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,3.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,,,,20.0,40.0,15.0,15.0,15.0,15.0,4.0,3.0,3.0,,,,,,,,,,,33.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,b'0124002',,,,,,,,100.0,,,2.0,,1.0,1.0,2.0,b'public',3.0,,,1.0,1.0,,1.0,1.0,,,,0.0,-0.2692,-1.4551,1.4513,-1.2356,0.9042,9.56983,17.41253,13.59032,b'  20MAY19:15:30:56',,
124.0,b'CAN',12400011.0,b'07MS',b'012400',12406.0,b'CAN0654',b'1240000',1.0,2.0,313.0,4.0,1.0,99.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,,,70.0,27.0,20.0,370.0,180.0,180.0,140.0,30.0,50.0,35.0,,,,,,,,,,,40.0,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,b'0124002',1.0,1.0,2.0,2.0,1.0,5.0,67.0,50.0,10.0,75.0,2.0,,1.0,1.0,1.0,b'public',3.0,,,0.4865,1.0,,1.0,1.0,0.0889,0.0,,3.0,-1.4212,-1.4551,1.8409,0.6015,0.9042,5.07115,1541.00853,7.20165,b'  20MAY19:15:30:56',,
124.0,b'CAN',12400012.0,b'07MS',b'012400',12409.0,b'CAN0984',b'1240000',1.0,2.0,313.0,4.0,1.0,100.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,,,25.0,15.0,8.0,181.0,180.0,180.0,118.0,52.0,52.0,232.0,,,,,,,,,,,100.0,2.0,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,b'0124002',1.0,1.0,2.0,2.0,1.0,1.0,40.0,15.0,3.0,10.0,2.0,,1.0,1.0,1.0,b'public',3.0,,,0.9945,1.0,,,,0.2,0.0154,,3.0,-1.4212,-1.4551,0.8153,-0.0452,0.9042,3.36695,541.63981,4.78148,b'  20MAY19:15:30:56',,
124.0,b'CAN',12400013.0,b'07MS',b'012400',12406.0,b'CAN0654',b'1240000',1.0,2.0,313.0,5.0,1.0,95.0,3.0,2.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,4.0,4.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,,,49.0,34.0,86.0,,640.0,640.0,70.0,30.0,30.0,100.0,,,,,,,,,,,74.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,b'0124002',1.0,1.0,2.0,2.0,1.0,40.0,52.0,55.0,10.0,2.0,2.0,,1.0,1.0,1.0,b'public',3.0,,,,1.0,,1.0,0.9268,0.0976,0.0244,,2.0,0.8339,1.5435,0.8153,1.1337,0.287,17.24946,951.13213,24.49633,b'  20MAY19:15:30:56',,
124.0,b'CAN',12400014.0,b'07MS',b'012400',12409.0,b'CAN0983',b'1240000',1.0,2.0,313.0,1.0,1.0,98.0,2.0,,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,5.0,1.0,10.0,35.0,35.0,35.0,35.0,14.0,4.0,15.0,,,,,,,,,,,100.0,2.0,,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,b'0124002',2.0,2.0,2.0,2.0,2.0,3.0,40.0,50.0,5.0,20.0,2.0,,1.0,1.0,1.0,b'public',3.0,,,1.0,1.0,,1.0,1.0,0.0909,0.0,,1.0,0.1,0.0055,-0.0384,0.2266,0.9042,16.07723,567.22916,22.83162,b'  20MAY19:15:30:56',,
124.0,b'CAN',12400015.0,b'07MS',b'012400',12401.0,b'CAN0104',b'1240000',1.0,2.0,313.0,4.0,1.0,100.0,,,,1.0,1.0,3.0,3.0,4.0,4.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,3.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,,,4.0,30.0,30.0,166.0,113.0,113.0,60.0,12.0,2.0,40.0,,,,,,,,,,,100.0,2.0,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,b'0124002',2.0,2.0,2.0,2.0,2.0,24.0,40.0,65.0,2.0,5.0,1.0,4.0,1.0,1.0,1.0,b'public',3.0,,,0.6807,1.0,,,,0.8667,0.0,,3.0,1.7773,0.6676,1.1317,0.6101,0.9042,1.0,131.27394,1.42012,b'  20MAY19:15:30:56',,
124.0,b'CAN',12400016.0,b'07MS',b'012400',12405.0,b'CAN0547',b'1240000',1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'9999999',,,,,,,,,,,,,,,,b'private',,,,,,,,,,,,,,,,,,11.66788,507.98606,16.56981,b'  20MAY19:15:30:56',,
